,BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB
409,Anrich Nortje,4,0,33,2,8.25,10,4,1,0,0
410,Mukesh Kumar,3,0,27,0,9.00,4,4,0,0,0
411,Axar Patel,4,0,21,2,5.25,8,1,0,0,0
412,Kuldeep Yadav,4,0,22,1,5.50,6,1,0,0,0
413,Mitchell Marsh,2,0,16,0,8.00,3,1,0,0,1
414,Arjun Tendulkar,2,0,9,1,4.50,7,0,0,0,0
415,Jason Behrendorff,4,0,37,1,9.25,8,2,2,2,0
416,Riley Meredith,4,0,49,1,12.25,6,4,3,2,0
417,Cameron Green,2,0,39,0,19.50,0,2,4,0,0
418,Piyush Chawla,4,0,34,2,8.50,7,3,1,1,0
419,Kumar Kartikeya,4,0,39,1,9.75,7,3,2,0,0
420,Mohammed Shami,4,0,18,0,4.50,14,2,0,1,0
421,Hardik Pandya,2,0,10,1,5.00,8,0,1,0,0
422,Rashid Khan,4,0,27,2,6.75,10,2,1,0,0
423,Noor Ahmad,4,0,37,3,9.25,10,2,3,0,0
424,Mohit Sharma,4,0,38,2,9.50,7,1,3,0,0
425,Josh Little,2,0,18,0,9.00,2,1,1,0,0
426,Mohammed Siraj,4,0,33,1,8.25,11,5,1,0,0
427,David Willey,3,0,31,0,10.33,5,4,1,1,0
428,Wanindu Hasaranga,4,0,24,2,6.00,10,3,0,0,0
429,Shahbaz Ahmed,1,0,25,0,25.00,1,0,4,0,0
430,Vijaykumar Vyshak,4,0,41,2,10.25,3,2,2,3,0
431,Harshal Patel,4,0,44,0,11.00,7,2,4,1,0
432,Vaibhav Arora,2,0,22,0,11.00,3,3,0,1,0
433,Umesh Yadav,1,0,19,0,19.00,0,1,2,0,0
434,Suyash Sharma,4,0,30,2,7.50,5,3,0,1,0
435,Varun Chakravarthy,4,0,27,3,6.75,9,2,1,0,0
436,Andre Russell,4,0,29,2,7.25,11,1,2,0,0
437,Sunil Narine,4,0,41,0,10.25,2,1,2,0,0
438,Nitish Rana,1,0,8,0,8.00,1,1,0,0,0
439,Akash Singh,2,0,32,0,16.00,3,6,1,0,0
440,Tushar Deshpande,4,0,42,2,10.50,10,5,2,0,0
441,Maheesh Theekshana,4,0,24,1,6.00,11,3,0,1,0
442,Ravindra Jadeja,4,0,32,1,8.00,6,2,1,1,0
443,Moeen Ali,2,0,17,0,8.50,2,0,1,0,0
444,Matheesha Pathirana,4,0,48,0,12.00,5,5,1,2,0
445,Sandeep Sharma,4,0,24,0,6.00,10,3,0,0,0
446,Kuldip Yadav,3,0,18,1,6.00,4,1,0,0,0
447,Jason Holder,4,0,49,0,12.25,4,4,3,1,0
448,Ravichandran Ashwin,4,0,35,2,8.75,7,1,2,0,0
449,Adam Zampa,3,0,22,3,7.33,7,2,1,0,0
450,Yuzvendra Chahal,2,0,21,0,10.50,3,2,1,0,0
451,Gurnoor Brar,3,0,42,0,14.00,7,4,3,1,2
452,Arshdeep Singh,4,0,54,1,13.50,4,10,0,2,0
453,Kagiso Rabada,4,0,52,2,13.00,12,3,5,2,2
454,Sikandar Raza,1,0,17,0,17.00,2,1,2,0,0
455,Rahul Chahar,4,0,29,0,7.25,8,2,1,0,0
456,Sam Curran,3,0,38,1,12.66,5,4,2,0,0
457,Liam Livingstone,1,0,19,1,19.00,1,3,1,0,0
458,Marcus Stoinis,1.5,0,21,1,11.45,5,2,1,4,0
459,Kyle Mayers,1,0,4,0,4.00,5,1,0,0,0
460,Ayush Badoni,0.1,0,0,0,0.00,1,0,0,0,0
461,Naveen-ul-Haq,4,0,30,3,7.50,11,2,0,1,1
462,Avesh Khan,2,0,28,0,14.00,1,3,1,0,0
463,Amit Mishra,2,0,23,0,11.50,1,2,1,0,0
464,Ravi Bishnoi,4,0,41,2,10.25,9,4,2,0,1
465,Yash Thakur,3.5,0,37,4,9.65,9,3,2,1,0
466,Krunal Pandya,1,0,13,0,13.00,2,1,1,1,0
467,Mohammed Shami,4,0,33,3,8.25,12,3,2,0,0
468,Hardik Pandya,3,0,34,0,11.33,9,3,3,1,0
469,Rashid Khan,4,0,54,0,13.50,3,3,4,1,0
470,Josh Little,4,0,25,2,6.25,12,2,1,0,0
471,Noor Ahmad,4,0,21,2,5.25,12,1,1,1,0
472,Mohit Sharma,1,0,12,0,12.00,1,0,1,0,0
473,Harshit Rana,3,0,25,1,8.33,6,4,0,1,0
474,Andre Russell,3,0,29,1,9.66,6,3,1,1,0
475,Varun Chakravarthy,4,0,42,0,10.50,7,3,3,0,0
476,Suyash Sharma,4,0,37,0,9.25,7,3,2,0,0
477,Sunil Narine,3,0,24,1,8.00,3,1,1,0,0
478,Nitish Rana,0.5,0,14,0,16.80,0,1,1,1,0
479,Ishant Sharma,3,0,31,1,10.33,9,7,0,0,0
480,Anrich Nortje,4,0,44,0,11.00,4,4,1,2,0
481,Mukesh Kumar,2,0,38,0,19.00,2,4,2,2,1
482,Mitchell Marsh,4,1,27,4,6.75,12,1,2,2,0
483,Kuldeep Yadav,3,0,27,0,9.00,4,1,2,0,0
484,Axar Patel,4,0,29,1,7.25,7,0,2,2,0
485,Bhuvneshwar Kumar,4,0,45,1,11.25,5,3,2,3,0
486,Akeal Hosein,4,0,40,1,10.00,6,4,2,0,0
487,T Natarajan,4,0,34,1,8.50,4,2,1,0,0
488,Umran Malik,1,0,22,0,22.00,0,2,2,0,0
489,Mayank Markande,4,0,20,2,5.00,7,1,0,0,0
490,Abhishek Sharma,3,0,26,1,8.66,5,2,1,0,0
491,Arshdeep Singh,4,0,37,1,9.25,8,5,0,3,0
492,Kagiso Rabada,4,0,34,0,8.50,8,4,1,1,0
493,Sam Curran,4,0,46,1,11.50,7,5,2,3,0
494,Rahul Chahar,4,0,35,1,8.75,7,2,2,0,0
495,Sikandar Raza,3,0,31,1,10.33,6,4,1,0,0
496,Liam Livingstone,1,0,16,0,16.00,0,3,0,0,0
497,Akash Singh,3,0,35,0,11.66,4,3,2,1,0
498,Tushar Deshpande,4,0,49,3,12.25,10,3,4,2,0
499,Maheesh Theekshana,4,0,36,0,9.00,5,4,0,1,0
500,Ravindra Jadeja,4,0,32,2,8.00,8,1,2,0,0
501,Moeen Ali,1,0,10,0,10.00,2,0,1,0,0
502,Matheesha Pathirana,4,0,32,1,8.00,6,2,0,1,0
503,Cameron Green,3,0,31,0,10.33,10,2,2,4,0
504,Jofra Archer,4,0,35,1,8.75,16,2,3,3,1
505,Riley Meredith,4,0,51,1,12.75,7,9,1,2,0
506,Piyush Chawla,4,0,34,2,8.50,11,2,3,0,0
507,Kumar Kartikeya,2,0,14,0,7.00,6,1,1,0,0
508,Arshad Khan,3,0,39,3,13.00,5,4,2,3,0
509,Trent Boult,4,0,43,1,10.75,8,7,0,2,0
510,Sandeep Sharma,4,0,35,1,8.75,5,3,1,2,0
511,Ravichandran Ashwin,4,0,27,2,6.75,8,0,2,1,0
512,Yuzvendra Chahal,3,0,32,0,10.66,5,3,2,0,0
513,Jason Holder,3.3,0,55,0,15.71,4,5,4,2,0
514,Kuldeep Sen,1,0,20,0,20.00,2,3,1,0,1
515,Krunal Pandya,4,0,21,0,5.25,8,1,0,0,0
516,Marcus Stoinis,1,0,11,0,11.00,0,1,0,0,0
517,Naveen-ul-Haq,4,0,30,3,7.50,8,3,1,0,0
518,Ravi Bishnoi,4,0,21,2,5.25,7,0,0,0,0
519,Amit Mishra,3,0,21,2,7.00,4,0,1,0,0
520,Yash Thakur,2,0,12,0,6.00,6,1,0,2,0
521,Krishnappa Gowtham,2,0,10,1,5.00,5,0,0,0,0
522,Mohammed Siraj,3,0,24,1,8.00,11,4,0,3,1
523,Josh Hazlewood,3,0,15,2,5.00,13,1,1,0,1
524,Glenn Maxwell,1,0,3,1,3.00,3,0,0,0,0
525,Wanindu Hasaranga,4,0,20,1,5.00,14,0,2,0,0
526,Karn Sharma,4,0,20,2,5.00,12,1,1,0,0
527,Harshal Patel,3.5,0,20,1,5.21,9,2,0,0,0
528,Mahipal Lomror,1,0,4,0,4.00,2,0,0,0,0
529,Mohammed Shami,4,0,11,4,2.75,19,1,0,0,0
530,Hardik Pandya,1,0,10,0,10.00,3,2,0,0,1
531,Josh Little,3,0,27,0,9.00,6,4,0,0,0
532,Rashid Khan,4,0,28,1,7.00,12,0,3,1,0
533,Noor Ahmad,4,0,20,0,5.00,11,1,0,2,0
534,Mohit Sharma,4,0,33,2,8.25,7,1,2,0,0
535,Khaleel Ahmed,4,1,24,2,6.00,12,4,0,0,0
536,Ishant Sharma,4,0,23,2,5.75,12,2,0,1,0
537,Anrich Nortje,4,0,39,1,9.75,11,2,3,2,0
538,Kuldeep Yadav,4,0,15,1,3.75,9,0,0,0,0
539,Axar Patel,4,0,24,0,6.00,10,1,1,1,0
540,Deepak Chahar,4,0,41,0,10.25,9,4,2,0,0
541,Tushar Deshpande,1,0,1,0,1.00,5,0,0,0,0
542,Moeen Ali,4,0,13,2,3.25,11,0,0,0,0
543,Maheesh Theekshana,4,0,37,2,9.25,7,2,2,0,0
544,Ravindra Jadeja,3,0,11,1,3.66,8,0,0,0,0
545,Matheesha Pathirana,3.2,0,22,2,6.60,6,0,0,2,0
546,Cameron Green,2,0,15,0,7.50,7,2,0,0,0
547,Arshad Khan,4,0,48,1,12.00,9,7,2,1,0
548,Jofra Archer,4,0,56,0,14.00,4,4,3,2,1
549,Piyush Chawla,4,0,29,2,7.25,7,4,0,0,0
550,Kumar Kartikeya,3,0,24,0,8.00,3,0,1,3,0
551,Akash Madhwal,3,0,37,0,12.33,1,3,1,0,1
552,Rishi Dhawan,3,0,20,1,6.66,11,1,2,0,0
553,Arshdeep Singh,3.5,0,66,1,17.21,4,8,4,2,0
554,Sam Curran,3,0,41,0,13.66,3,5,2,1,0
555,Nathan Ellis,4,0,34,2,8.50,4,3,0,0,0
556,Rahul Chahar,3,0,30,0,10.00,5,5,0,0,0
557,Harpreet Brar,2,0,21,0,10.50,1,1,1,0,0
558,Bhuvneshwar Kumar,4,0,33,1,8.25,12,6,0,1,0
559,Marco Jansen,3,0,24,2,8.00,7,3,0,0,1
560,Kartik Tyagi,2,0,30,1,15.00,5,3,2,2,1
561,Aiden Markram,3,0,24,1,8.00,5,2,1,0,0
562,T Natarajan,4,0,30,2,7.50,9,1,1,2,0
563,Mayank Markande,4,0,29,1,7.25,8,1,2,0,0
564,Harshit Rana,4,0,27,1,6.75,13,1,2,2,0
565,Vaibhav Arora,3,0,32,2,10.66,6,5,0,1,2
566,Shardul Thakur,3,0,23,2,7.66,6,3,0,0,0
567,Andre Russell,1,0,15,1,15.00,4,2,1,0,1
568,Anukul Roy,3,0,26,1,8.66,6,1,2,1,0
569,Sunil Narine,2,0,16,0,8.00,1,1,0,0,0
570,Varun Chakravarthy,4,0,20,1,5.00,12,2,0,0,0
571,Mohammed Shami,4,0,27,1,6.75,13,2,1,2,0
572,Hardik Pandya,2,0,22,1,11.00,4,3,1,0,0
573,Rashid Khan,4,0,14,3,3.50,13,0,0,2,0
574,Josh Little,4,0,24,1,6.00,7,2,0,0,0
575,Noor Ahmad,3,0,25,2,8.33,7,2,1,3,0
576,Mohit Sharma,0.5,0,5,0,6.00,0,0,0,0,0
577,Trent Boult,3,0,28,0,9.33,8,6,0,0,0
578,Sandeep Sharma,3,0,19,0,6.33,9,3,0,0,1
579,Adam Zampa,3,0,40,0,13.33,3,3,3,0,0
580,Yuzvendra Chahal,3.5,0,22,1,5.73,7,1,0,0,0
581,Ravichandran Ashwin,1,0,8,0,8.00,1,1,0,0,0
582,Deepak Chahar,3,0,18,2,6.00,10,3,0,0,0
583,Tushar Deshpande,4,0,26,2,6.50,9,2,0,1,0
584,Ravindra Jadeja,4,0,37,1,9.25,5,5,0,1,0
585,Moeen Ali,1,0,10,0,10.00,2,2,0,0,0
586,Maheesh Theekshana,4,0,28,0,7.00,11,3,1,0,0
587,Matheesha Pathirana,4,0,15,3,3.75,12,0,0,0,0
588,Cameron Green,1,0,10,0,10.00,4,2,0,1,1
589,Jofra Archer,4,0,24,0,6.00,11,3,0,1,0
590,Arshad Khan,1.4,0,28,0,16.80,3,2,3,0,0
591,Piyush Chawla,4,0,25,2,6.25,8,1,1,0,0
592,Raghav Goyal,4,0,33,0,8.25,7,1,2,0,0
593,Tristan Stubbs,2,0,14,1,7.00,3,0,1,0,0
594,Akash Madhwal,1,0,4,1,4.00,2,0,0,0,0
595,Khaleel Ahmed,4,0,45,1,11.25,7,3,3,1,0
596,Axar Patel,3,0,17,0,5.66,7,2,0,0,0
597,Ishant Sharma,3,0,29,0,9.66,5,4,0,2,0
598,Mukesh Kumar,3,0,30,1,10.00,6,5,0,1,0
599,Mitchell Marsh,3,0,21,2,7.00,3,0,1,1,0
600,Kuldeep Yadav,4,0,37,0,9.25,5,2,2,0,0
601,Mohammed Siraj,2,0,28,0,14.00,4,3,2,1,0
602,Glenn Maxwell,1.4,0,14,0,8.40,4,1,1,0,0
603,Josh Hazlewood,3,0,29,1,9.66,9,2,2,0,1
604,Wanindu Hasaranga,4,0,32,0,8.00,9,2,2,0,0
605,Karn Sharma,3,0,33,1,11.00,4,4,1,0,0
606,Mahipal Lomror,1,0,13,0,13.00,1,1,1,0,0
607,Harshal Patel,2,0,32,1,16.00,4,2,3,1,0
608,Mohsin Khan,3,0,42,1,14.00,4,5,2,2,0
609,Avesh Khan,4,0,34,1,8.50,8,2,2,0,0
610,Krunal Pandya,4,0,38,0,9.50,5,2,2,0,0
611,Yash Thakur,4,0,48,0,12.00,4,2,4,1,0
612,Ravi Bishnoi,2,0,21,0,10.50,2,0,2,1,0
613,Kyle Mayers,1,0,16,0,16.00,1,3,0,0,1
614,Swapnil Singh,1,0,7,0,7.00,1,0,0,0,0
615,Marcus Stoinis,1,0,20,0,20.00,0,1,2,0,0
616,Mohammed Shami,4,0,37,1,9.25,9,3,2,1,0
617,Hardik Pandya,3,0,37,0,12.33,6,6,1,2,0
618,Rashid Khan,4,0,34,1,8.50,6,1,2,0,0
619,Noor Ahmad,4,0,26,1,6.50,11,4,0,1,0
620,Mohit Sharma,4,0,29,4,7.25,9,1,2,1,0
621,Alzarri Joseph,1,0,5,0,5.00,4,1,0,0,0
622,Bhuvneshwar Kumar,4,0,44,1,11.00,7,6,1,2,0
623,Marco Jansen,4,0,44,1,11.00,5,6,1,1,0
624,T Natarajan,4,0,36,0,9.00,8,4,1,1,0
625,Mayank Markande,4,0,51,0,12.75,7,1,6,0,0
626,Abhishek Sharma,2,0,15,0,7.50,5,1,1,0,0
627,Vivrant Sharma,2,0,18,0,9.00,4,1,1,1,0
628,Sandeep Sharma,4,0,48,0,12.00,5,5,2,0,1
629,Kuldip Yadav,4,0,50,1,12.50,5,2,4,0,0
630,Ravichandran Ashwin,4,0,35,1,8.75,5,2,1,3,0
631,Yuzvendra Chahal,4,0,29,4,7.25,11,3,1,0,0
632,Murugan Ashwin,3,0,42,0,14.00,3,2,4,0,0
633,Obed McCoy,1,0,13,0,13.00,2,1,1,1,0
634,Vaibhav Arora,3,0,32,0,10.66,8,7,0,1,0
635,Harshit Rana,3,0,33,2,11.00,9,4,2,0,1
636,Andre Russell,1,0,19,0,19.00,1,4,0,0,1
637,Varun Chakravarthy,4,0,26,3,6.50,11,2,1,1,0
638,Suyash Sharma,4,0,26,1,6.50,12,1,2,1,0
639,Sunil Narine,4,0,29,0,7.25,9,2,1,1,0
640,Nitish Rana,1,0,7,1,7.00,3,1,0,0,0
641,Rishi Dhawan,2,0,15,0,7.50,5,2,0,0,0
642,Arshdeep Singh,4,0,39,0,9.75,10,6,1,1,0
643,Nathan Ellis,4,0,29,1,7.25,7,2,1,0,0
644,Sam Curran,3,0,44,0,14.66,5,5,3,1,0
645,Liam Livingstone,2,0,27,0,13.50,2,4,1,0,0
646,Harpreet Brar,1,0,4,1,4.00,2,0,0,0,0
647,Rahul Chahar,4,0,23,2,5.75,8,1,0,1,0
648,Jason Behrendorff,4,0,36,3,9.00,9,5,1,0,0
649,Piyush Chawla,4,0,41,0,10.25,8,5,2,0,0
650,Cameron Green,2,0,15,1,7.50,6,3,0,0,0
651,Chris Jordan,4,0,48,1,12.00,7,4,3,1,0
652,Kumar Kartikeya,4,0,35,1,8.75,6,3,1,1,0
653,Akash Madhwal,2,0,23,0,11.50,1,1,1,0,1
654,Mohammed Siraj,3,0,31,0,10.33,10,2,3,1,0
655,Josh Hazlewood,3,0,32,0,10.66,7,5,1,1,0
656,Wanindu Hasaranga,4,0,53,2,13.25,5,2,5,1,0
657,Vijaykumar Vyshak,3,0,37,2,12.33,7,2,3,1,1
658,Harshal Patel,3.3,0,41,0,11.71,3,5,1,1,1
659,Khaleel Ahmed,4,0,32,1,8.00,9,1,2,2,0
660,Ishant Sharma,2,0,23,0,11.50,4,4,0,2,0
661,Lalit Yadav,3,0,34,1,11.33,6,2,3,0,0
662,Axar Patel,4,0,27,2,6.75,8,2,1,0,0
663,Kuldeep Yadav,4,0,28,1,7.00,6,0,1,3,0
664,Mitchell Marsh,3,0,18,3,6.00,7,1,0,3,0
665,Deepak Chahar,3,0,28,2,9.33,10,3,2,1,0
666,Tushar Deshpande,3,0,18,0,6.00,9,1,1,0,0
667,Maheesh Theekshana,2,0,16,0,8.00,2,0,1,0,0
668,Ravindra Jadeja,4,0,19,1,4.75,10,1,0,0,0
669,Moeen Ali,4,0,16,0,4.00,13,0,1,0,0
670,Matheesha Pathirana,4,0,37,3,9.25,11,5,1,4,0
671,Trent Boult,3,0,15,2,5.00,13,2,0,0,0
672,Sandeep Sharma,4,0,34,1,8.50,12,2,3,0,0
673,Ravichandran Ashwin,4,0,32,0,8.00,6,1,2,0,0
674,Joe Root,2,0,14,0,7.00,2,1,0,0,0
675,Yuzvendra Chahal,4,0,25,4,6.25,11,2,1,0,0
676,KM Asif,3,0,27,1,9.00,4,0,2,1,0
677,Nitish Rana,1,0,26,0,26.00,0,3,2,0,0
678,Harshit Rana,2,0,22,0,11.00,6,2,1,2,0
679,Shardul Thakur,1.1,0,18,0,15.42,1,4,0,0,0
680,Varun Chakravarthy,3,0,28,0,9.33,10,3,2,1,0
681,Sunil Narine,2,0,13,0,6.50,5,0,1,0,0
682,Suyash Sharma,3,0,22,0,7.33,7,2,1,0,0
683,Anukul Roy,1,0,20,0,20.00,1,0,3,0,0
684,Mohammed Shami,4,0,53,0,13.25,9,5,4,0,0
685,Mohit Sharma,4,0,43,1,10.75,10,6,2,0,0
686,Rashid Khan,4,0,30,4,7.50,10,5,0,0,0
687,Noor Ahmad,4,0,38,0,9.50,7,4,1,0,0
688,Alzarri Joseph,4,0,52,0,13.00,5,2,5,0,0
689,Jason Behrendorff,4,0,37,1,9.25,8,5,1,1,0
690,Akash Madhwal,4,0,31,3,7.75,11,4,1,0,0
691,Chris Jordan,4,0,34,0,8.50,9,3,2,0,0
692,Piyush Chawla,4,0,36,2,9.00,7,4,1,0,0
693,Kumar Kartikeya,3,0,37,2,12.33,8,0,5,2,0
694,Cameron Green,1,0,13,0,13.00,3,0,2,0,0
695,Yudhvir Singh,3,0,24,1,8.00,8,4,0,1,0
696,Kyle Mayers,1,0,11,0,11.00,3,2,0,0,1
697,Krunal Pandya,4,0,24,2,6.00,12,2,1,0,0
698,Avesh Khan,2,0,30,1,15.00,2,5,1,0,0
699,Yash Thakur,4,0,28,1,7.00,11,1,2,0,0
700,Amit Mishra,4,0,40,1,10.00,8,2,3,1,0
701,Ravi Bishnoi,2,0,23,0,11.50,1,2,1,0,0
702,Bhuvneshwar Kumar,4,0,30,0,7.50,8,3,1,0,0
703,Fazalhaq Farooqi,3.2,0,32,0,9.60,8,5,0,4,0
704,Glenn Phillips,2,0,10,1,5.00,5,1,0,0,0
705,T Natarajan,4,0,31,0,7.75,8,1,2,0,0
706,Mayank Markande,3,0,39,1,13.00,2,4,2,0,0
707,Abhishek Sharma,3,0,42,1,14.00,6,1,5,1,0
708,Khaleel Ahmed,4,0,36,0,9.00,11,4,1,3,0
709,Ishant Sharma,3,0,27,2,9.00,8,4,1,0,0
710,Axar Patel,4,0,27,1,6.75,12,1,1,2,0
711,Praveen Dubey,3,0,19,1,6.33,8,1,1,1,0
712,Kuldeep Yadav,4,0,32,1,8.00,9,2,2,0,0
713,Mitchell Marsh,1,0,21,0,21.00,0,1,2,1,0
714,Mukesh Kumar,1,0,3,1,3.00,3,0,0,0,0
715,Rishi Dhawan,1,0,10,0,10.00,2,2,0,0,0
716,Sam Curran,2,0,18,0,9.00,4,3,0,0,0
717,Harpreet Brar,4,0,30,4,7.50,11,5,0,1,0
718,Nathan Ellis,4,0,26,2,6.50,6,2,0,1,0
719,Arshdeep Singh,4,0,32,0,8.00,8,2,2,0,0
720,Rahul Chahar,4,0,16,2,4.00,18,3,0,1,0
721,Sikandar Raza,1,0,3,0,3.00,3,0,0,0,0
722,Sandeep Sharma,4,0,34,1,8.50,4,4,0,1,0
723,Adam Zampa,4,0,25,2,6.25,10,2,1,0,0
724,Yuzvendra Chahal,4,0,37,0,9.25,4,3,1,1,0
725,Ravichandran Ashwin,4,0,33,0,8.25,5,1,2,1,0
726,KM Asif,4,0,42,2,10.50,8,2,3,1,0
727,Mohammed Siraj,2,0,10,1,5.00,9,2,0,1,0
728,Wayne Parnell,3,0,10,3,3.33,12,1,0,1,0
729,Michael Bracewell,3,0,16,2,5.33,10,1,1,0,0
730,Karn Sharma,1.3,0,19,2,12.66,5,0,3,0,0
731,Glenn Maxwell,1,0,3,1,3.00,4,0,0,0,0
732,Vaibhav Arora,4,0,30,1,7.50,7,2,0,1,1
733,Harshit Rana,2,0,19,0,9.50,5,2,1,0,0
734,Varun Chakravarthy,4,0,36,2,9.00,5,2,1,1,0
735,Sunil Narine,4,0,15,2,3.75,10,0,0,0,0
736,Shardul Thakur,3,0,15,1,5.00,7,1,0,1,0
737,Suyash Sharma,3,0,29,0,9.66,6,0,3,0,1
738,Deepak Chahar,3,0,27,3,9.00,7,3,1,2,0
739,Tushar Deshpande,3.3,0,25,0,7.14,11,2,1,2,0
740,Moeen Ali,4,0,31,0,7.75,8,5,0,0,0
741,Maheesh Theekshana,3,0,22,0,7.33,3,2,0,0,0
742,Matheesha Pathirana,3,0,23,0,7.66,8,1,0,2,1
743,Ravindra Jadeja,2,0,18,0,9.00,4,0,2,0,0
744,Bhuvneshwar Kumar,4,0,30,5,7.50,11,4,0,0,0
745,Marco Jansen,4,0,39,1,9.75,11,3,1,4,2
746,Fazalhaq Farooqi,3,0,31,1,10.33,3,4,0,1,0
747,T Natarajan,4,0,34,1,8.50,4,4,0,0,0
748,Aiden Markram,1,0,13,0,13.00,0,2,0,0,0
749,Mayank Markande,3,0,27,0,9.00,3,4,0,0,0
750,Abhishek Sharma,1,0,13,0,13.00,2,1,1,1,0
751,Mohammed Shami,4,0,21,4,5.25,13,1,1,0,0
752,Yash Dayal,4,0,31,1,7.75,11,4,0,4,0
753,Rashid Khan,4,0,28,0,7.00,6,1,1,0,0
754,Mohit Sharma,4,0,28,4,7.00,12,3,1,0,0
755,Noor Ahmad,2.5,0,35,0,12.35,3,3,2,1,0
756,Rahul Tewatia,1.1,0,7,0,6.00,3,1,0,0,0
757,Jason Behrendorff,4,0,30,2,7.50,9,0,2,1,0
758,Chris Jordan,4,0,50,0,12.50,7,3,4,2,0
759,Hrithik Shokeen,3,0,20,0,6.66,9,1,1,0,0
760,Piyush Chawla,3,0,26,1,8.66,5,0,2,0,0
761,Akash Madhwal,4,0,30,0,7.50,7,1,1,2,0
762,Cameron Green,2,0,16,0,8.00,5,1,1,0,0
763,Krunal Pandya,4,0,27,0,6.75,10,4,0,0,0
764,Mohsin Khan,3,0,26,1,8.66,8,1,2,2,0
765,Naveen-ul-Haq,4,0,37,0,9.25,8,1,3,0,1
766,Yash Thakur,4,0,40,2,10.00,9,2,2,5,1
767,Swapnil Singh,1,0,11,0,11.00,1,2,0,0,0
768,Ravi Bishnoi,4,0,26,2,6.50,9,2,0,1,0
769,Sam Curran,4,0,36,2,9.00,9,4,1,1,0
770,Kagiso Rabada,3,0,36,0,12.00,8,2,4,0,0
771,Arshdeep Singh,2,0,21,0,10.50,4,2,1,2,0
772,Nathan Ellis,4,0,46,0,11.50,6,5,2,0,0
773,Rahul Chahar,4,0,35,0,8.75,7,4,1,0,0
774,Harpreet Brar,3,0,39,0,13.00,2,3,2,2,0
775,Khaleel Ahmed,3,1,20,1,6.66,14,1,2,0,1
776,Ishant Sharma,3,0,36,2,12.00,10,5,2,0,1
777,Anrich Nortje,4,0,36,2,9.00,11,2,3,0,0
778,Mukesh Kumar,4,0,52,0,13.00,8,3,5,1,0
779,Axar Patel,3,0,27,1,9.00,3,4,0,0,0
780,Kuldeep Yadav,3,0,21,0,7.00,4,0,1,1,0
781,Mohammed Siraj,4,0,17,1,4.25,16,2,0,2,0
782,Wayne Parnell,4,0,35,0,8.75,5,3,1,0,0
783,Michael Bracewell,2,0,13,2,6.50,5,2,0,0,0
784,Shahbaz Ahmed,3,0,38,1,12.66,4,4,2,0,0
785,Harshal Patel,4,0,37,1,9.25,4,3,1,1,0
786,Karn Sharma,3,0,45,0,15.00,0,1,4,1,0
787,Bhuvneshwar Kumar,4,0,48,1,12.00,10,7,2,1,0
788,Abhishek Sharma,3,0,28,0,9.33,5,3,1,1,0
789,T Natarajan,4,0,34,1,8.50,6,3,1,1,0
790,Kartik Tyagi,1.2,0,21,0,15.75,1,4,0,1,0
791,Nitish Kumar Reddy,2,0,19,0,9.50,3,1,1,0,1
792,Mayank Dagar,4,0,25,0,6.25,8,1,1,0,0
793,Glenn Phillips,1,0,10,0,10.00,1,1,0,0,0
794,Trent Boult,4,0,35,1,8.75,12,3,2,1,0
795,Sandeep Sharma,4,0,46,0,11.50,6,3,3,2,1
796,Navdeep Saini,4,0,40,3,10.00,9,6,1,1,0
797,Adam Zampa,4,0,26,1,6.50,6,2,0,0,0
798,Yuzvendra Chahal,4,0,40,0,10.00,9,3,3,1,0
799,Sam Curran,4,0,46,1,11.50,9,8,1,2,0
800,Kagiso Rabada,4,0,40,2,10.00,12,2,4,1,1
801,Arshdeep Singh,4,0,40,1,10.00,11,4,2,3,0
802,Nathan Ellis,4,0,34,1,8.50,8,3,1,1,0
803,Rahul Chahar,3.4,0,28,1,7.63,5,1,1,0,0
804,Khaleel Ahmed,4,0,45,1,11.25,9,4,3,2,1
805,Lalit Yadav,2,0,32,0,16.00,1,3,2,2,0
806,Axar Patel,3,0,32,0,10.66,3,0,3,0,0
807,Anrich Nortje,4,0,43,1,10.75,8,4,3,0,0
808,Chetan Sakariya,4,0,36,1,9.00,9,5,0,3,1
809,Kuldeep Yadav,3,0,34,0,11.33,2,1,3,0,0
810,Deepak Chahar,4,0,22,3,5.50,14,2,1,0,0
811,Tushar Deshpande,4,0,26,1,6.50,12,4,0,1,0
812,Maheesh Theekshana,4,1,23,2,5.75,11,1,1,0,0
813,Ravindra Jadeja,4,0,50,1,12.50,4,3,4,1,0
814,Matheesha Pathirana,4,0,22,2,5.50,11,1,0,5,0
815,Harshit Rana,3,0,21,1,7.00,11,3,1,0,0
816,Vaibhav Arora,4,0,30,2,7.50,9,1,1,3,1
817,Varun Chakravarthy,4,0,38,1,9.50,10,4,2,0,0
818,Nitish Rana,1,0,3,0,3.00,4,0,0,0,0
819,Shardul Thakur,2,0,27,2,13.50,3,0,3,1,1
820,Sunil Narine,4,0,28,2,7.00,8,2,1,1,0
821,Suyash Sharma,1,0,12,0,12.00,2,1,1,0,0
822,Andre Russell,1,0,12,0,12.00,2,1,1,0,0
823,Mohsin Khan,1,0,15,0,15.00,2,2,1,0,0
824,Naveen-ul-Haq,4,0,46,0,11.50,8,6,2,0,0
825,Krunal Pandya,4,0,30,1,7.50,9,5,0,0,0
826,Krishnappa Gowtham,4,0,26,1,6.50,9,2,0,2,0
