,BATTING,Dismissal,R,B,M,4s,6s,SR
407,Aiden Markram ,c Shokeen b Green,22,17,26,1,1,129.41
408,Abhishek Sharma,c David b Chawla,1,2,5,0,0,50
409,Heinrich Klaasen ,c David b Chawla,36,16,24,4,2,225
410,Abdul Samad,run out (Shokeen/€ Ishan Kishan),9,12,34,1,0,75
411,Marco Jansen,c David b Meredith,13,6,11,3,0,216.66
412,Washington Sundar,run out (David),10,6,8,2,0,166.66
413,Bhuvneshwar Kumar,c Sharma b Tendulkar,2,5,16,0,0,40
414,Mayank Markande,not out,2,2,4,0,0,100
415,KL Rahul ,c Buttler b Holder,39,32,51,4,1,121.87
416,Kyle Mayers,b Ashwin,51,42,69,4,3,121.42
417,Ayush Badoni,b Boult,1,4,6,0,0,25
418,Deepak Hooda,c Hetmyer b Ashwin,2,4,7,0,0,50
419,Marcus Stoinis,c € Samson b Sandeep Sharma,21,16,31,2,0,131.25
420,Nicholas Pooran ,run out (€ Samson),29,20,27,2,1,145
421,Krunal Pandya,not out,4,2,4,1,0,200
422,Yudhvir Singh,run out (Hetmyer/€ Samson),1,1,2,0,0,100
423,Yashasvi Jaiswal,c Avesh Khan b Stoinis,44,35,60,4,2,125.71
424,Jos Buttler,c Ravi Bishnoi b Stoinis,40,41,73,4,1,97.56
425,Sanju Samson ,run out (Mishra/€ Pooran),2,4,8,0,0,50
426,Devdutt Padikkal,c € Pooran b Avesh Khan,26,21,36,4,0,123.8
427,Shimron Hetmyer,c Rahul b Avesh Khan,2,5,12,0,0,40
428,Riyan Parag,not out,15,12,24,1,1,125
429,Dhruv Jurel,c Hooda b Avesh Khan,0,1,2,0,0,0
430,Ravichandran Ashwin,not out,3,2,3,0,0,150
431,Virat Kohli ,c € Sharma b Harpreet Brar,59,47,72,5,1,125.53
432,Faf du Plessis,c Curran b Ellis,84,56,78,5,5,150
433,Glenn Maxwell,c Taide b Harpreet Brar,0,1,1,0,0,0
434,Dinesh Karthik ,c Taide b Arshdeep Singh,7,5,16,1,0,140
435,Mahipal Lomror,not out,7,9,15,1,0,77.77
436,Shahbaz Ahmed,not out,5,3,5,0,0,166.66
437,Atharva Taide,lbw b Mohammed Siraj,4,2,5,1,0,200
438,Prabhsimran Singh,b Parnell,46,30,59,3,4,153.33
439,Matthew Short,b de Silva,8,7,9,0,1,114.28
440,Liam Livingstone,lbw b Mohammed Siraj,2,4,7,0,0,50
441,Harpreet Singh,run out (Mohammed Siraj),13,9,12,1,1,144.44
442,Sam Curran ,run out (de Silva),10,12,18,1,0,83.33
443,Jitesh Sharma ,c Shahbaz Ahmed b Patel,41,27,48,2,3,151.85
444,M Shahrukh Khan,st € Karthik b de Silva,7,5,9,0,1,140
445,Harpreet Brar,b Mohammed Siraj,13,13,22,1,0,100
446,Nathan Ellis,b Mohammed Siraj,1,2,5,0,0,50
447,Arshdeep Singh,not out,0,0,3,0,0,-
448,Jason Roy,c Aman Hakim Khan b Kuldeep Yadav,43,39,74,5,1,110.25
449,Litton Das ,c Lalit Yadav b Mukesh Kumar,4,4,13,1,0,100
450,Venkatesh Iyer,c Marsh b Nortje,0,2,9,0,0,0
451,Nitish Rana ,c Mukesh Kumar b Sharma,4,7,11,1,0,57.14
452,Mandeep Singh,b Patel,12,11,16,0,1,109.09
453,Rinku Singh,c Lalit Yadav b Patel,6,8,9,1,0,75
454,Sunil Narine,c Warner b Sharma,4,6,6,1,0,66.66
455,Andre Russell,not out,38,31,49,1,4,122.58
456,Anukul Roy,lbw b Kuldeep Yadav,0,1,2,0,0,0
457,Umesh Yadav,c & b Nortje,3,5,5,0,0,60
458,Varun Chakravarthy,run out (sub [YV Dhull]/€ Salt),1,6,28,0,0,16.66
459,David Warner ,lbw b Varun,57,41,58,11,0,139.02
460,Prithvi Shaw,b Varun,13,11,22,2,0,118.18
461,Mitchell Marsh,c sub (D Wiese) b Rana,2,9,14,0,0,22.22
462,Phil Salt ,c & b AS Roy,5,3,6,1,0,166.66
463,Manish Pandey,c Singh b AS Roy,21,23,34,2,0,91.3
464,Axar Patel,not out,19,22,37,1,0,86.36
465,Aman Hakim Khan,b Rana,0,2,4,0,0,0
466,Lalit Yadav,not out,4,7,21,0,0,57.14
467,Harry Brook,c Gaikwad b Akash Singh,18,13,23,3,0,138.46
468,Abhishek Sharma,c Rahane b Jadeja,34,26,43,3,1,130.76
469,Rahul Tripathi,c Akash Singh b Jadeja,21,21,31,1,1,100
470,Aiden Markram ,c € Dhoni b Theekshana,12,12,15,1,0,100
471,Heinrich Klaasen ,c Gaikwad b Pathirana,17,16,27,1,0,106.25
472,Mayank Agarwal,st € Dhoni b Jadeja,2,4,6,0,0,50
473,Marco Jansen,not out,17,22,29,1,0,77.27
474,Washington Sundar,run out (€ Dhoni),9,6,14,1,0,150
475,Ruturaj Gaikwad,run out (Umran Malik),35,30,50,2,0,116.66
476,Devon Conway,not out,77,57,84,12,1,135.08
477,Ajinkya Rahane,c Markram b Markande,9,10,15,0,0,90
478,Ambati Rayudu,b Markande,9,9,11,1,0,100
479,Moeen Ali,not out,6,6,9,1,0,100
480,Wriddhiman Saha ,c Hooda b Pandya,47,37,51,6,0,127.02
481,Shubman Gill,c Ravi Bishnoi b Pandya,0,2,9,0,0,0
482,Hardik Pandya ,c Rahul b Stoinis,66,50,89,2,4,132
483,Abhinav Manohar,c Naveen-ul-Haq b Mishra,3,5,7,0,0,60
484,Vijay Shankar,b Naveen-ul-Haq,10,12,17,1,0,83.33
