,BATTING,Dismissal,R,B,M,4s,6s,SR
708,Marcus Stoinis,c Prabhudessai b Sharma,13,19,31,0,1,68.42
709,Nicholas Pooran ,c Lomror b Sharma,9,7,9,0,1,128.57
710,Krishnappa Gowtham,run out (sub [R Sonu Yadav]/€ Karthik),23,13,20,1,2,176.92
711,Ravi Bishnoi,run out (Patel/€ Karthik),5,10,19,0,0,50
712,Amit Mishra,c € Karthik b Patel,19,30,42,2,0,63.33
713,Naveen-ul-Haq,c € Karthik b Hazlewood,13,13,20,2,0,100
714,KL Rahul ,not out,0,3,7,0,0,0
715,Phil Salt ,c Miller b Mohammed Shami,0,1,2,0,0,0
716,David Warner ,run out (Rashid Khan),2,2,10,0,0,100
717,Priyam Garg,c € Saha b Mohammed Shami,10,14,26,0,0,71.42
718,Rilee Rossouw,c € Saha b Mohammed Shami,8,6,9,2,0,133.33
719,Manish Pandey,c € Saha b Mohammed Shami,1,4,7,0,0,25
720,Axar Patel,c Rashid Khan b Sharma,27,30,43,2,1,90
721,Aman Hakim Khan,c Manohar b Rashid Khan,51,44,62,3,3,115.9
722,Ripal Patel,c Pandya b Sharma,23,13,32,2,1,176.92
723,Anrich Nortje,not out,3,6,8,0,0,50
724,Kuldeep Yadav,not out,0,1,1,0,0,0
725,Wriddhiman Saha ,c € Salt b Ahmed,0,6,6,0,0,0
726,Shubman Gill,c Pandey b Nortje,6,7,18,1,0,85.71
727,Hardik Pandya ,not out,59,53,94,7,0,111.32
728,Vijay Shankar,b Sharma,6,9,11,1,0,66.66
729,David Miller,b Kuldeep Yadav,0,3,9,0,0,0
730,Abhinav Manohar,c Aman Hakim Khan b Ahmed,26,33,44,0,1,78.78
731,Rahul Tewatia,c Rossouw b Sharma,20,7,19,0,3,285.71
732,Rashid Khan,not out,3,2,3,0,0,150
733,Manan Vohra,b Theekshana,10,11,27,1,0,90.9
734,Kyle Mayers,c Gaikwad b Ali,14,17,17,2,0,82.35
735,Karan Sharma,c & b Ali,9,16,32,0,0,56.25
736,Krunal Pandya ,c Rahane b Theekshana,0,1,3,0,0,0
737,Marcus Stoinis,b Jadeja,6,4,5,1,0,150
738,Nicholas Pooran ,c Ali b Pathirana,20,31,46,0,0,64.51
739,Ayush Badoni,not out,59,33,41,2,4,178.78
740,Krishnappa Gowtham,c Rahane b Pathirana,1,3,10,0,0,33.33
741,Prabhsimran Singh,c € Ishan Kishan b Arshad Khan,9,7,8,1,0,128.57
742,Shikhar Dhawan ,st € Ishan Kishan b Chawla,30,20,35,5,0,150
743,Matthew Short,b Chawla,27,26,46,2,1,103.84
744,Liam Livingstone,not out,82,42,65,7,4,195.23
745,Jitesh Sharma ,not out,49,27,46,5,2,181.48
746,Rohit Sharma ,c Short b R Dhawan,0,3,3,0,0,0
747,Ishan Kishan ,c R Dhawan b Arshdeep Singh,75,41,80,7,4,182.92
748,Cameron Green,c Chahar b Ellis,23,18,29,4,0,127.77
749,Suryakumar Yadav,c Arshdeep Singh b Ellis,66,31,44,8,2,212.9
750,Tim David,not out,19,10,21,3,0,190
751,Tilak Varma,not out,26,10,15,1,3,260
752,Jason Roy,c Agarwal b Kartik Tyagi,20,19,27,4,0,105.26
753,Rahmanullah Gurbaz ,c Brook b Jansen,0,1,7,0,0,0
754,Venkatesh Iyer,c € Klaasen b Jansen,7,4,6,1,0,175
755,Nitish Rana ,c & b Markram,42,31,46,3,3,135.48
756,Rinku Singh,c Abdul Samad b Natarajan,46,35,67,4,1,131.42
757,Andre Russell,c Natarajan b Markande,24,15,13,1,2,160
758,Sunil Narine,c Agarwal b Kumar,1,2,6,0,0,50
759,Shardul Thakur,c Abdul Samad b Natarajan,8,6,9,1,0,133.33
760,Anukul Roy,not out,13,7,11,2,0,185.71
761,Harshit Rana,run out (€ Klaasen/Natarajan),0,1,2,0,0,0
762,Vaibhav Arora,not out,2,1,2,0,0,200
763,Abhishek Sharma,c Russell b Thakur,9,10,25,1,0,90
764,Mayank Agarwal,c € Rahmanullah Gurbaz b Harshit Rana,18,11,17,2,1,163.63
765,Rahul Tripathi,c Arora b Russell,20,9,17,3,1,222.22
766,Aiden Markram ,c Singh b Arora,41,40,64,4,0,102.5
767,Harry Brook,lbw b AS Roy,0,4,6,0,0,0
768,Heinrich Klaasen ,c Russell b Thakur,36,20,34,1,3,180
769,Abdul Samad,c AS Roy b Varun,21,18,34,3,0,116.66
770,Marco Jansen,c € Rahmanullah Gurbaz b Arora,1,4,10,0,0,25
771,Bhuvneshwar Kumar,not out,5,5,16,1,0,100
772,Mayank Markande,not out,1,2,6,0,0,50
773,Yashasvi Jaiswal,run out (Sharma/Rashid Khan),14,11,31,1,1,127.27
774,Jos Buttler,c Sharma b Pandya,8,6,10,2,0,133.33
775,Sanju Samson ,c Pandya b Little,30,20,27,3,1,150
776,Devdutt Padikkal,b Noor Ahmad,12,12,30,1,0,100
777,Ravichandran Ashwin,b Rashid Khan,2,6,6,0,0,33.33
778,Riyan Parag,lbw b Rashid Khan,4,6,8,0,0,66.66
779,Shimron Hetmyer,lbw b Rashid Khan,7,13,29,0,0,53.84
780,Dhruv Jurel,lbw b Noor Ahmad,9,8,13,1,0,112.5
781,Trent Boult,b Mohammed Shami,15,11,15,1,1,136.36
782,Adam Zampa,run out (Manohar),7,9,19,0,0,77.77
783,Sandeep Sharma,not out,2,5,8,0,0,40
784,Wriddhiman Saha ,not out,41,34,55,5,0,120.58
785,Shubman Gill,st € Samson b Chahal,36,35,39,6,0,102.85
786,Hardik Pandya ,not out,39,15,17,3,3,260
787,Cameron Green,b Deshpande,6,4,10,1,0,150
788,Ishan Kishan ,c Theekshana b Chahar,7,9,15,1,0,77.77
789,Rohit Sharma ,c Jadeja b Chahar,0,3,9,0,0,0
790,Nehal Wadhera,b Pathirana,64,51,68,8,1,125.49
791,Suryakumar Yadav,b Jadeja,26,22,35,3,0,118.18
792,Tristan Stubbs,c Jadeja b Pathirana,20,21,44,2,0,95.23
793,Tim David,c Gaikwad b Deshpande,2,4,7,0,0,50
794,Arshad Khan,c Gaikwad b Pathirana,1,2,6,0,0,50
795,Jofra Archer,not out,3,2,5,0,0,150
796,Piyush Chawla,not out,2,2,2,0,0,100
797,Ruturaj Gaikwad,c € Ishan Kishan b Chawla,30,16,23,4,2,187.5
798,Devon Conway,lbw b Madhwal,44,42,83,4,0,104.76
799,Ajinkya Rahane,lbw b Chawla,21,17,23,1,1,123.52
800,Ambati Rayudu,c Goyal b Stubbs,12,11,16,0,1,109.09
801,Shivam Dube,not out,26,18,27,0,3,144.44
802,MS Dhoni ,not out,2,3,7,0,0,66.66
803,Virat Kohli,c Ahmed b Mukesh Kumar,55,46,74,5,0,119.56
804,Faf du Plessis ,c AR Patel b Marsh,45,32,46,5,1,140.62
805,Glenn Maxwell,c € Salt b Marsh,0,1,2,0,0,0
806,Mahipal Lomror,not out,54,29,53,6,3,186.2
807,Dinesh Karthik ,c Warner b Ahmed,11,9,22,0,1,122.22
808,Anuj Rawat,not out,8,3,5,0,1,266.66
809,David Warner ,c du Plessis b Hazlewood,22,14,26,3,1,157.14
810,Phil Salt ,b Sharma,87,45,76,8,6,193.33
811,Mitchell Marsh,c Lomror b Patel,26,17,22,3,1,152.94
812,Rilee Rossouw,not out,35,22,34,1,3,159.09
813,Axar Patel,not out,8,3,5,0,1,266.66
814,Wriddhiman Saha ,c sub (PN Mankad) b Avesh Khan,81,43,59,10,4,188.37
815,Shubman Gill,not out,94,51,96,2,7,184.31
816,Hardik Pandya ,c Pandya b Mohsin Khan,25,15,20,1,2,166.66
817,David Miller,not out,21,12,19,2,1,175
818,Kyle Mayers,c Rashid Khan b Sharma,48,32,46,7,2,150
819,Quinton de Kock ,b Rashid Khan,70,41,88,7,3,170.73
820,Deepak Hooda,c Tewatia b Mohammed Shami,11,11,24,0,0,100
821,Marcus Stoinis,c Mohammed Shami b Sharma,4,9,15,0,0,44.44
822,Nicholas Pooran,c Mohammed Shami b Noor Ahmad,3,6,15,0,0,50
823,Ayush Badoni,c Noor Ahmad b Sharma,21,11,15,1,2,190.9
824,Swapnil Singh,not out,2,4,14,0,0,50
825,Krunal Pandya ,c Miller b Sharma,0,1,2,0,0,0
826,Ravi Bishnoi,not out,4,5,5,1,0,80
827,Yashasvi Jaiswal,c Natarajan b Jansen,35,18,27,5,2,194.44
828,Jos Buttler,lbw b Kumar,95,59,84,10,4,161.01
829,Sanju Samson ,not out,66,38,66,4,5,173.68
830,Shimron Hetmyer,not out,7,5,8,0,0,140
831,Anmolpreet Singh,c Hetmyer b Chahal,33,25,26,4,1,132
832,Abhishek Sharma,c Chahal b R Ashwin,55,34,57,5,2,161.76
833,Rahul Tripathi,c Jaiswal b Chahal,47,29,57,2,3,162.06
834,Heinrich Klaasen ,c Buttler b Chahal,26,12,15,2,2,216.66
835,Aiden Markram ,lbw b Chahal,6,5,13,1,0,120
836,Glenn Phillips,c Hetmyer b Yadav,25,7,12,1,3,357.14
837,Abdul Samad,not out,17,7,17,0,2,242.85
838,Marco Jansen,not out,3,2,10,0,0,150
839,Prabhsimran Singh,c € Rahmanullah Gurbaz b Harshit Rana,12,8,11,3,0,150
840,Shikhar Dhawan ,c Arora b Rana,57,47,80,9,1,121.27
841,Bhanuka Rajapaksa,c € Rahmanullah Gurbaz b Harshit Rana,0,3,11,0,0,0
842,Liam Livingstone,lbw b Varun,15,9,16,3,0,166.66
843,Jitesh Sharma ,c € Rahmanullah Gurbaz b Varun,21,18,34,0,2,116.66
844,Sam Curran,c € Rahmanullah Gurbaz b Suyash Sharma,4,9,25,0,0,44.44
845,Rishi Dhawan,b Varun,19,11,12,1,1,172.72
846,M Shahrukh Khan,not out,21,8,20,3,1,262.5
847,Harpreet Brar,not out,17,9,17,2,1,188.88
848,Jason Roy,c Shahrukh Khan b Harpreet Brar,38,24,40,8,0,158.33
849,Rahmanullah Gurbaz ,lbw b Ellis,15,12,25,1,1,125
850,Nitish Rana ,c Livingstone b Chahar,51,38,50,6,1,134.21
851,Venkatesh Iyer,c Livingstone b Chahar,11,13,28,0,0,84.61
852,Andre Russell,run out (€ Sharma/Arshdeep Singh),42,23,34,3,3,182.6
853,Rinku Singh,not out,21,10,25,2,1,210
854,Shardul Thakur,not out,0,0,1,0,0,-
855,Virat Kohli,c € Ishan Kishan b Behrendorff,1,4,7,0,0,25
856,Faf du Plessis ,c sub (Vishnu Vinod) b Green,65,41,78,5,3,158.53
857,Anuj Rawat,c Green b Behrendorff,6,4,8,1,0,150
858,Glenn Maxwell,c Wadhera b Behrendorff,68,33,53,8,4,206.06
859,Mahipal Lomror,b Kartikeya,1,3,6,0,0,33.33
860,Dinesh Karthik ,c Wadhera b Jordan,30,18,31,4,1,166.66
861,Kedar Jadhav,not out,12,10,33,1,0,120
862,Wanindu Hasaranga,not out,12,8,11,2,0,150
863,Ishan Kishan ,c € Anuj Rawat b de Silva,42,21,24,4,4,200
864,Rohit Sharma ,lbw b de Silva,7,8,27,1,0,87.5
865,Suryakumar Yadav,c Jadhav b Vyshak,83,35,60,7,6,237.14
866,Nehal Wadhera,not out,52,34,61,4,3,152.94
867,Tim David,c Maxwell b Vyshak,0,1,2,0,0,0
868,Cameron Green,not out,2,2,4,0,0,100
869,Ruturaj Gaikwad,c Aman Hakim Khan b AR Patel,24,18,39,4,0,133.33
870,Devon Conway,lbw b AR Patel,10,13,28,1,0,76.92
871,Ajinkya Rahane,c & b Lalit Yadav,21,20,31,2,0,105
872,Moeen Ali,c Marsh b Kuldeep Yadav,7,12,13,0,0,58.33
873,Shivam Dube,c Warner b Marsh,25,12,24,0,3,208.33
874,Ambati Rayudu,c RV Patel b Ahmed,23,17,28,1,1,135.29
875,Ravindra Jadeja,c AR Patel b Marsh,21,16,30,1,1,131.25
876,MS Dhoni ,c Warner b Marsh,20,9,22,1,2,222.22
877,Deepak Chahar,not out,1,2,6,0,0,50
878,Tushar Deshpande,not out,0,1,2,0,0,0
879,David Warner ,c Rahane b Chahar,0,2,2,0,0,0
880,Phil Salt ,c Rayudu b Chahar,17,11,19,1,2,154.54
881,Mitchell Marsh,run out (Rahane),5,4,21,1,0,125
882,Manish Pandey,lbw b Pathirana,27,29,42,1,2,93.1
883,Rilee Rossouw,c Pathirana b Jadeja,35,37,44,2,1,94.59
884,Ripal Patel,run out (Ali),10,16,31,0,0,62.5
885,Axar Patel,c Rahane b Pathirana,21,12,20,2,1,175
886,Aman Hakim Khan,not out,2,3,13,0,0,66.66
887,Lalit Yadav,b Pathirana,12,5,7,3,0,240
888,Kuldeep Yadav,not out,0,1,1,0,0,0
889,Jason Roy,c Hetmyer b Boult,10,8,14,2,0,125
890,Rahmanullah Gurbaz ,c Sandeep Sharma b Boult,18,12,23,1,2,150
891,Venkatesh Iyer,c Boult b Chahal,57,42,68,2,4,135.71
892,Nitish Rana ,c Hetmyer b Chahal,22,17,26,2,0,129.41
893,Andre Russell,c Ashwin b Asif,10,10,19,0,1,100
894,Rinku Singh,c Root b Chahal,16,18,30,0,1,88.88
895,Shardul Thakur,lbw b Chahal,1,2,5,0,0,50
896,Anukul Roy,not out,6,6,20,0,0,100
897,Sunil Narine,c Root b Sandeep Sharma,6,5,9,1,0,120
898,Yashasvi Jaiswal,not out,98,47,62,12,5,208.51
899,Jos Buttler,run out (Russell),0,3,10,0,0,0
900,Sanju Samson ,not out,48,29,53,2,5,165.51
901,Ishan Kishan ,lbw b Rashid Khan,31,20,38,4,1,155
902,Rohit Sharma ,c Tewatia b Rashid Khan,29,18,34,3,2,161.11
903,Suryakumar Yadav,not out,103,49,73,11,6,210.2
904,Nehal Wadhera,b Rashid Khan,15,7,12,1,1,214.28
905,Vishnu Vinod,c Manohar b Sharma,30,20,36,2,2,150
906,Tim David,c & b Rashid Khan,5,3,6,1,0,166.66
907,Cameron Green,not out,3,3,18,0,0,100
908,Wriddhiman Saha ,lbw b Madhwal,2,5,10,0,0,40
909,Shubman Gill,b Madhwal,6,9,20,0,0,66.66
910,Hardik Pandya ,c € Ishan Kishan b Behrendorff,4,3,5,1,0,133.33
911,Vijay Shankar,b Chawla,29,14,22,6,0,207.14
912,David Miller,lbw b Madhwal,41,26,47,4,2,157.69
913,Abhinav Manohar,b Kartikeya,2,3,5,0,0,66.66
914,Rahul Tewatia,c Green b Chawla,14,13,29,1,0,107.69
915,Rashid Khan,not out,79,32,44,3,10,246.87
916,Noor Ahmad,b Kartikeya,1,3,5,0,0,33.33
917,Alzarri Joseph,not out,7,12,37,1,0,58.33
918,Anmolpreet Singh,c & b Mishra,36,27,46,7,0,133.33
919,Abhishek Sharma,c € de Kock b Yudhvir Singh,7,5,14,1,0,140
920,Rahul Tripathi,c € de Kock b Yash Thakur,20,13,19,4,0,153.84
921,Aiden Markram ,st € de Kock b Pandya,28,20,28,2,1,140
922,Heinrich Klaasen ,c Mankad b Avesh Khan,47,29,52,3,3,162.06
923,Glenn Phillips,b Pandya,0,1,2,0,0,0
924,Abdul Samad,not out,37,25,41,1,4,148
925,Bhuvneshwar Kumar,not out,2,1,6,0,0,200
926,Kyle Mayers,c Markram b Phillips,2,14,16,0,0,14.28
927,Quinton de Kock ,c Abhishek Sharma b Markande,29,19,39,3,1,152.63
928,Prerak Mankad,not out,64,45,78,7,2,142.22
929,Marcus Stoinis,c Abdul Samad b Abhishek Sharma,40,25,34,2,3,160
930,Nicholas Pooran,not out,44,13,22,3,4,338.46
931,Prabhsimran Singh,b Mukesh Kumar,103,65,87,10,6,158.46
932,Shikhar Dhawan ,c Rossouw b Sharma,7,5,9,0,1,140
933,Liam Livingstone,b Sharma,4,5,15,1,0,80
934,Jitesh Sharma ,b Patel,5,5,8,1,0,100
935,Sam Curran,c Aman Hakim Khan b Dubey,20,24,39,1,0,83.33
936,Harpreet Brar,c Marsh b Kuldeep Yadav,2,5,9,0,0,40
937,M Shahrukh Khan,run out (€ Salt/Ahmed),2,4,22,0,0,50
938,Sikandar Raza,not out,11,7,11,0,1,157.14
939,Rishi Dhawan,not out,0,0,1,0,0,-
940,David Warner ,lbw b Harpreet Brar,54,27,49,10,1,200
941,Phil Salt ,b Harpreet Brar,21,17,31,3,0,123.52
942,Mitchell Marsh,lbw b Chahar,3,4,7,0,0,75
943,Rilee Rossouw,c Sikandar Raza b Harpreet Brar,5,5,6,1,0,100
944,Axar Patel,lbw b Chahar,1,2,12,0,0,50
945,Manish Pandey,b Harpreet Brar,0,3,7,0,0,0
946,Aman Hakim Khan,c Harpreet Brar b Ellis,16,18,24,1,1,88.88
947,Praveen Dubey,b Ellis,16,20,29,2,0,80
948,Kuldeep Yadav,not out,10,17,21,0,0,58.82
949,Mukesh Kumar,not out,6,7,12,0,0,85.71
950,Virat Kohli,c Jaiswal b Asif,18,19,31,1,0,94.73
951,Faf du Plessis ,c Jaiswal b Asif,55,44,65,3,2,125
952,Glenn Maxwell,b Sandeep Sharma,54,33,51,5,3,163.63
953,Mahipal Lomror,c Jurel b Zampa,1,2,5,0,0,50
954,Dinesh Karthik ,lbw b Zampa,0,2,3,0,0,0
955,Michael Bracewell,not out,9,9,21,0,0,100
956,Anuj Rawat,not out,29,11,12,3,2,263.63
957,Yashasvi Jaiswal,c Kohli b Mohammed Siraj,0,2,4,0,0,0
958,Jos Buttler,c Mohammed Siraj b Parnell,0,2,10,0,0,0
959,Sanju Samson ,c Anuj Rawat b Parnell,4,5,10,1,0,80
960,Joe Root,lbw b Parnell,10,15,26,1,0,66.66
961,Devdutt Padikkal,c Mohammed Siraj b Bracewell,4,4,16,1,0,100
962,Shimron Hetmyer,c Bracewell b Maxwell,35,19,28,1,4,184.21
963,Dhruv Jurel,c Lomror b Bracewell,1,7,6,0,0,14.28
964,Ravichandran Ashwin,run out (Mohammed Siraj/Anuj Rawat),0,0,7,0,0,-
965,Adam Zampa,b Sharma,2,6,10,0,0,33.33
966,Sandeep Sharma,not out,0,1,4,0,0,0
967,KM Asif,c Kohli b Sharma,0,2,3,0,0,0
968,Ruturaj Gaikwad,c Arora b Varun,17,13,19,2,0,130.76
969,Devon Conway,c Singh b Thakur,30,28,51,3,0,107.14
970,Ajinkya Rahane,c Roy b Varun,16,11,24,1,1,145.45
971,Ambati Rayudu,b Narine,4,7,14,0,0,57.14
972,Shivam Dube,not out,48,34,55,1,3,141.17
973,Moeen Ali,b Narine,1,2,5,0,0,50
974,Ravindra Jadeja,c Varun b Arora,20,24,43,0,1,83.33
975,MS Dhoni ,not out,2,3,4,0,0,66.66
976,Jason Roy,c Pathirana b Chahar,12,15,30,1,0,80
977,Rahmanullah Gurbaz ,c Deshpande b Chahar,1,4,8,0,0,25
978,Venkatesh Iyer,c Jadeja b Chahar,9,4,11,2,0,225
979,Nitish Rana ,not out,57,44,72,6,1,129.54
980,Rinku Singh,run out (Ali),54,43,54,4,3,125.58
981,Andre Russell,not out,2,2,9,0,0,100
982,Wriddhiman Saha ,c Abhishek Sharma b Kumar,0,3,4,0,0,0
983,Shubman Gill,c Abdul Samad b Kumar,101,58,100,13,1,174.13
984,Sai Sudharsan,c Natarajan b Jansen,47,36,70,6,1,130.55
985,Hardik Pandya ,c Tripathi b Kumar,8,6,7,1,0,133.33
986,David Miller,c Markram b Natarajan,7,5,8,1,0,140
987,Rahul Tewatia,c Jansen b Fazalhaq Farooqi,3,3,7,0,0,100
988,Dasun Shanaka,not out,9,7,12,1,0,128.57
989,Rashid Khan,c € Klaasen b Kumar,0,1,2,0,0,0
990,Noor Ahmad,run out (€ Klaasen/Kumar),0,1,1,0,0,0
991,Mohammed Shami,c Jansen b Kumar,0,1,3,0,0,0
992,Mohit Sharma,not out,0,1,1,0,0,0
993,Anmolpreet Singh,c Rashid Khan b Mohammed Shami,5,4,5,1,0,125
994,Abhishek Sharma,c € Saha b Yash Dayal,5,5,10,1,0,100
995,Aiden Markram ,c Shanaka b Mohammed Shami,10,10,19,1,0,100
996,Rahul Tripathi,c Tewatia b Mohammed Shami,1,2,5,0,0,50
997,Heinrich Klaasen ,c Miller b Mohammed Shami,64,44,73,4,3,145.45
998,Sanvir Singh,c Sai Sudharsan b Sharma,7,6,12,0,1,116.66
999,Abdul Samad,c sub (Shivam Mavi) b Sharma,4,3,5,1,0,133.33
1000,Marco Jansen,c Pandya b Sharma,3,6,11,0,0,50
1001,Bhuvneshwar Kumar,c Rashid Khan b Sharma,27,26,51,3,0,103.84
1002,Mayank Markande,not out,18,9,17,2,1,200
1003,Fazalhaq Farooqi,not out,1,5,5,0,0,20
1004,Deepak Hooda,c David b Behrendorff,5,7,12,0,0,71.42
1005,Quinton de Kock ,c € Ishan Kishan b Chawla,16,15,31,0,2,106.66
1006,Prerak Mankad,c € Ishan Kishan b Behrendorff,0,1,2,0,0,0
1007,Krunal Pandya ,retired hurt,49,42,71,1,1,116.66
1008,Marcus Stoinis,not out,89,47,80,4,8,189.36
1009,Nicholas Pooran,not out,8,8,25,1,0,100
1010,Ishan Kishan ,c Naveen-ul-Haq b Ravi Bishnoi,59,39,54,8,1,151.28
1011,Rohit Sharma ,c Hooda b Ravi Bishnoi,37,25,47,1,3,148
1012,Suryakumar Yadav,b Yash Thakur,7,9,22,0,0,77.77
1013,Nehal Wadhera,c sub (K Gowtham) b Mohsin Khan,16,20,28,2,0,80
1014,Tim David,not out,32,19,41,1,3,168.42
1015,Vishnu Vinod,c Pooran b Yash Thakur,2,4,9,0,0,50
1016,Cameron Green,not out,4,6,17,0,0,66.66
1017,David Warner ,c Dhawan b Curran,46,31,53,5,2,148.38
1018,Prithvi Shaw,c Taide b Curran,54,38,74,7,1,142.1
1019,Rilee Rossouw,not out,82,37,44,6,6,221.62
1020,Phil Salt ,not out,26,14,21,2,2,185.71
1021,Prabhsimran Singh,c Dhull b Patel,22,19,40,4,0,115.78
1022,Shikhar Dhawan ,c Aman Hakim Khan b Sharma,0,1,9,0,0,0
1023,Atharva Taide,retired out,55,42,67,5,2,130.95
1024,Liam Livingstone,c Patel b Sharma,94,48,69,5,9,195.83
1025,Jitesh Sharma ,c Ahmed b Nortje,0,3,4,0,0,0
1026,M Shahrukh Khan,c Patel b Ahmed,6,3,7,0,1,200
1027,Sam Curran,b Nortje,11,5,13,1,1,220
1028,Harpreet Brar,run out (€ Salt/Nortje),0,1,3,0,0,0
1029,Rahul Chahar,not out,0,0,9,0,0,-
1030,Abhishek Sharma,c Lomror b Bracewell,11,14,22,2,0,78.57
1031,Rahul Tripathi,c Patel b Bracewell,15,12,25,2,1,125
1032,Aiden Markram ,b Shahbaz Ahmed,18,20,37,0,0,90
1033,Heinrich Klaasen ,b Patel,104,51,62,8,6,203.92
1034,Harry Brook,not out,27,19,37,2,1,142.1
1035,Glenn Phillips,c Parnell b Mohammed Siraj,5,4,10,1,0,125
1036,Virat Kohli,c Phillips b Kumar,100,63,82,12,4,158.73
1037,Faf du Plessis ,c Tripathi b Natarajan,71,47,86,7,2,151.06
1038,Glenn Maxwell,not out,5,3,11,1,0,166.66
1039,Michael Bracewell,not out,4,4,6,0,0,100
1040,Prabhsimran Singh,c & b Boult,2,2,3,0,0,100
1041,Shikhar Dhawan ,lbw b Zampa,17,12,31,2,1,141.66
1042,Atharva Taide,c Padikkal b Saini,19,12,19,3,1,158.33
1043,Liam Livingstone,b Saini,9,13,16,1,0,69.23
1044,Sam Curran,not out,49,31,72,4,2,158.06
1045,Jitesh Sharma ,c sub (D Ferreira) b Saini,44,28,36,3,3,157.14
1046,M Shahrukh Khan,not out,41,23,31,4,2,178.26
1047,Yashasvi Jaiswal,c sub (R Dhawan) b Ellis,50,36,72,8,0,138.88
1048,Jos Buttler,lbw b Rabada,0,4,7,0,0,0
1049,Devdutt Padikkal,c Harpreet Brar b Arshdeep Singh,51,30,38,5,3,170
1050,Sanju Samson ,c sub (R Dhawan) b Chahar,2,3,6,0,0,66.66
1051,Shimron Hetmyer,c Dhawan b Curran,46,28,50,4,3,164.28
1052,Riyan Parag,c Taide b Rabada,20,12,21,1,2,166.66
1053,Dhruv Jurel,not out,10,4,11,0,1,250
1054,Trent Boult,not out,1,2,6,0,0,50
1055,Ruturaj Gaikwad,c Rossouw b Sakariya,79,50,68,3,7,158
1056,Devon Conway,c Aman Hakim Khan b Nortje,87,52,90,11,3,167.3
1057,Shivam Dube,c Lalit Yadav b Ahmed,22,9,21,0,3,244.44
1058,MS Dhoni ,not out,5,4,14,0,0,125
1059,Ravindra Jadeja,not out,20,7,12,3,1,285.71
1060,Prithvi Shaw,c Rayudu b Deshpande,5,7,8,1,0,71.42
1061,David Warner ,c Gaikwad b Pathirana,86,58,92,7,5,148.27
1062,Phil Salt ,c Rahane b Chahar,3,6,17,0,0,50
1063,Rilee Rossouw,b Chahar,0,1,2,0,0,0
1064,Yash Dhull,c Deshpande b Jadeja,13,15,25,1,0,86.66
1065,Axar Patel,c Gaikwad b Chahar,15,8,15,1,1,187.5
1066,Aman Hakim Khan,c Ali b Pathirana,7,9,17,1,0,77.77
1067,Lalit Yadav,c Ali b Theekshana,6,12,16,0,0,50
1068,Anrich Nortje,not out,0,1,10,0,0,0
1069,Kuldeep Yadav,lbw b Theekshana,0,1,2,0,0,0
1070,Chetan Sakariya,not out,0,2,3,0,0,0
1071,Karan Sharma,c Thakur b Harshit Rana,3,5,15,0,0,60
1072,Quinton de Kock ,c Russell b Varun,28,27,55,0,2,103.7
1073,Prerak Mankad,c Harshit Rana b Arora,26,20,22,5,0,130
1074,Marcus Stoinis,c Iyer b Arora,0,2,5,0,0,0
1075,Krunal Pandya ,c Singh b Narine,9,8,13,0,1,112.5
1076,Ayush Badoni,c Thakur b Narine,25,21,42,2,1,119.04
1077,Nicholas Pooran,c Iyer b Thakur,58,30,42,4,5,193.33
1078,Krishnappa Gowtham,not out,11,4,9,1,1,275
1079,Ravi Bishnoi,b Thakur,2,2,3,0,0,100
1080,Naveen-ul-Haq,not out,2,3,3,0,0,66.66
1081,Jason Roy,b Pandya,45,28,44,7,1,160.71
1082,Venkatesh Iyer,c Ravi Bishnoi b Gowtham,24,15,25,3,1,160
1083,Nitish Rana ,c Pandya b Ravi Bishnoi,8,10,13,1,0,80
1084,Rahmanullah Gurbaz ,c Ravi Bishnoi b Yash Thakur,10,15,25,0,0,66.66
1085,Rinku Singh,not out,67,33,62,6,4,203.03
1086,Andre Russell,b Ravi Bishnoi,7,9,13,0,1,77.77
1087,Shardul Thakur,c Mankad b Yash Thakur,3,7,14,0,0,42.85
1088,Sunil Narine,run out (Naveen-ul-Haq/€ de Kock),1,2,4,0,0,50
1089,Vaibhav Arora,not out,1,1,15,0,0,100
1090,Vivrant Sharma,c sub (Ramandeep Singh) b Madhwal,69,47,69,9,2,146.8
1091,Mayank Agarwal,c € Ishan Kishan b Madhwal,83,46,84,8,4,180.43
1092,Heinrich Klaasen ,b Madhwal,18,13,31,2,0,138.46
1093,Glenn Phillips,c Kartikeya b Jordan,1,4,8,0,0,25
1094,Aiden Markram ,not out,13,7,19,0,1,185.71
1095,Harry Brook,b Madhwal,0,1,2,0,0,0
1096,Sanvir Singh,not out,4,3,8,1,0,133.33
1097,Ishan Kishan ,c Brook b Kumar,14,12,14,1,1,116.66
1098,Rohit Sharma ,c Nitish Kumar Reddy b Dagar,56,37,72,8,1,151.35
1099,Cameron Green,not out,100,47,85,8,8,212.76
1100,Suryakumar Yadav,not out,25,16,27,4,0,156.25
1101,Virat Kohli,not out,101,61,102,13,1,165.57
1102,Faf du Plessis ,c Tewatia b Noor Ahmad,28,19,35,5,0,147.36
1103,Glenn Maxwell,b Rashid Khan,11,5,7,1,1,220
1104,Mahipal Lomror,st € Saha b Noor Ahmad,1,3,5,0,0,33.33
1105,Michael Bracewell,c & b Mohammed Shami,26,16,26,5,0,162.5
1106,Dinesh Karthik,c € Saha b Yash Dayal,0,1,2,0,0,0
